Date,Open,High,Low,Close,Volume,Market Cap
Jun-25-2022,1230.3907782617011,1259.9276,1187.1993,1252.329273236871,29037533184,148265867329.15
Jun-18-2022,1093.1285,1102.8297,897.0112056280113,999.8306,30554862520.88889,122856483939.99658
Jun-11-2022,1673.3663834448405,1699.8555,1517.0898256381045,1539.5003,37880931086.22222,194885984345.28256
Jun-04-2022,1795.2814467396329,1838.3380016712024,1760.3957214579168,1822.5099114394225,21736441543.11111,216543481168.60013
May-28-2022,1733.1684346030925,1822.1433,1733.1684346030925,1818.077891551636,32093727921.77778,215764688673.75964
May-21-2022,1981.41179101304,2015.4499158712836,1957.7459,2000.3315218439311,22812438293.333332,240319858641.23688
May-14-2022,2012.0259,2066.8634671037853,1956.7860132899104,2062.2008,27245265528.88889,244100160847.5758
May-07-2022,2697.7517,2701.7974,2602.2619,2644.9258,23775022823.11111,323439675260.68445
Apr-30-2022,2820.8338044785,2841.5676,2732.4181,2737.4254862715898,24933748195.555557,339655822766.82306
Apr-23-2022,2968.0086,2980.1595637961927,2928.9519,2942.9099,20367053272.88889,357154270396.1992
Apr-16-2022,3047.5085,3077.3551,3019.6113,3064.2317,15160119968,366423416035.62585
Apr-09-2022,3197.9921,3266.452679316528,3190.7633,3266.452679316528,25321252828.444443,387784853193.1888
Apr-02-2022,3456.4658,3526.407951774491,3442.778439716974,3442.778439716974,37472480597.333336,418513591389.8282
Mar-26-2022,3107.888313582765,3152.8764,3093.9376905578474,3148.620544067638,20321615182.22222,375363250019.5984
Mar-19-2022,2941.942865833156,2979.0170211575946,2915.2536347601995,2946.087099688774,22101064704,354142742535.74347
Mar-12-2022,2566.1916115259555,2615.029,2566.1916115259555,2584.0402542049965,15228387212.444445,310925663983.56415
Mar-05-2022,2629.957404703656,2691.8042,2608.021143836549,2677.936768255024,18990932485.505375,317557129524.3636
Feb-26-2022,2770.6317160899357,2857.132943589112,2754.0076,2784.8057,23993767608.88889,335238761873.464
Feb-19-2022,2788.0207213680565,2833.302294590167,2711.4276662387824,2769.437357004013,18514676433.77778,332572025025.074
Feb-12-2022,2934.972,2980.7219424326304,2870.1907,2911.9484,20355416256,350353080331.5145
Feb-05-2022,2991.6681050501697,3058.2666,2967.5512,3018.1714,24305494229.333332,360046729863.41
Jan-29-2022,2548.5067,2629.5541,2527.8444561058823,2598.4454,25683150954.666668,306200052521.05145
Jan-22-2022,2573.6066,2622.087238044495,2332.1483,2406.109564771601,37481679800.39161,294846864361.7441
Jan-15-2022,3312.161662827348,3367.666119645886,3280.944129660557,3331.8342671135447,15214683509.333334,396645693303.3561
Jan-08-2022,3201.9761,3246.629484450562,3023.8653,3099.6255005366006,29076178126.22222,378092197372.5927
Jan-01-2022,3685.986363216292,3785.0750671340993,3685.986363216292,3773.5834,15838957063.11111,445142658771.2209
Dec-25-2021,4049.1365,4134.1729,4039.6481,4109.646471445121,15636280544,484025892661.45337
Dec-18-2021,3880.897521222242,3987.5375,3784.485102942421,3961.200250995882,38068638994.02817,465802251071.4703
Dec-11-2021,3910.7981,4095.695081544233,3859.8901,4091.655288045867,47587895793.77778,477743280662.72974
Dec-04-2021,4229.8035,4238.4659,3642.6823,4097.563825071206,66819603939.55556,477093961474.7836
Nov-27-2021,4042.2979633897216,4184.982233264034,4042.2979633897216,4082.366357992869,45184787050.666664,489113105108.65125
Nov-20-2021,4300.9138805132,4436.529986422346,4227.782144520988,4422.128531286758,23245987662.22222,511810301053.68585
Nov-13-2021,4677.051356781548,4704.316891203014,4597.248848921077,4658.156012516753,23889874876.20906,550282310477.0747
Nov-06-2021,4485.262593732431,4527.731,4349.2654,4515.412838669978,20576344970.666668,527839633171.4392
Oct-30-2021,4414.742546465173,4418.937279592537,4269.350078905884,4315.823838736527,24115032526.22222,511919920928.49774
Oct-23-2021,3981.1377037070047,4164.092,3958.827078059567,4161.5046,24613138254.22222,478328127544.97174
Oct-16-2021,3874.766891154749,3966.7506,3814.4507,3842.72310861372,25330359719.349823,457578982328.7084
Oct-09-2021,3567.8012,3630.750443616456,3553.3935971463047,3590.297313577324,20008727310.22222,423723521175.1543
Oct-02-2021,3313.7771406076204,3463.5459,3268.552550398857,3393.1203,26572499128.88889,394129116783.8396
Sep-25-2021,2936.397,2970.035912178559,2830.872737979356,2945.6517796242874,33405874595.555557,343783091739.0995
Sep-18-2021,3404.8274,3539.7579,3382.0438,3435.5227,23194678197.07317,407729686116.73157
Sep-11-2021,3216.9992,3346.797370140545,3216.9992,3273.1945,29240999572.069687,386695710464.9101
Sep-04-2021,3947.5663801362775,3970.7878,3848.9772,3899.631262556614,34933022343.111115,459649064912.4413
Aug-28-2021,3273.9851,3283.4691,3225.9707926734586,3247.4221,23693021018.140846,381064609607.4322
Aug-21-2021,3289.507085322501,3312.1191,3223.0593323158487,3240.0862,28040550435.679443,383600585270.8246
Aug-14-2021,3328.8174087441075,3330.622509991804,3224.5928678687665,3273.1094,33226024256,383900149701.8158
Aug-07-2021,2895.2331013876437,3172.840750441233,2882.2124108421176,3172.840750441233,46200937880.16783,354822797734.15735
Jul-31-2021,2474.15,2548.6387411638448,2431.09,2543.373795728221,33746910933.333332,288383655593.1236
Jul-24-2021,2128.2710948407557,2198.34,2112.95,2187.59,30717181034.666668,251222801825.2722
Jul-17-2021,1880.08,1917.16,1858.2,1901.01,26145684529.77778,220317830876.52954
Jul-10-2021,2153.2808029450352,2192.455110149125,2097.3,2124.9265136251656,37241989148.44444,248182574578.8665
Jul-03-2021,2141.33290795262,2237.22,2123.97,2232.1732960064,28746181073.454544,255834595862.42963
Jun-26-2021,1821.330290920335,1850.8171834981931,1725.2249435691035,1815.11,33875120911.711193,208387694253.60745
Jun-19-2021,2231.11,2269.63,2172.12,2181.05,33007749127.11111,259285180760.05936
Jun-12-2021,2355.85,2444.41,2268.32,2378.03,41453918257.77778,275038813281.7306
Jun-05-2021,2690.36,2816.859300926553,2564.84,2621.39,50568307598.22222,312764999759.07996
May-29-2021,2424.27,2566.781452330586,2221.41,2282.84,55547577514.666664,278935543053.0108
May-22-2021,2426.58810239345,2479.2192198516486,2188.239011884151,2301.8,81332266112,272295526675.77533
May-15-2021,4084.213641366,4124.559328747,3659.42,3660.04,66435941958.60588,452218163655.3938
May-08-2021,3486.9,3947.699350842,3463.61,3908.027689808,60277015038.49128,422677563164.39374
May-01-2021,2775.427315775,2955.577532134,2759.829975096,2953.032414227,46664803194.00891,332362717792.8759
Apr-24-2021,2367.00775925,2375.479261709,2179.839979217,2358.089307746,80373889421.7639,262071815997.56494
Apr-17-2021,2430.726646129,2494.815174969,2324.63,2331.75,62116093784.284584,280102877125.386
Apr-10-2021,2072.89,2195.69,2065.807306384,2142.175399356,42423990355.71053,247490848704.01254
