Date,Open,High,Low,Close,Volume,Market Cap
Jun-06-2021,35512.37,36395.119909170506,35300.45,35781.01,54522810549.372696,673081231184.9684
May-30-2021,34575.84,36310.19,33528.7,35618.15758307902,74745448304.78322,663876381066.3003
May-23-2021,37499.78,38198.16,31282.72036952493,34834.68224245205,86352787200,655319326893.7573
May-16-2021,46770.57,49696.092539697,44041.162085149,46395.05,86152547557.68709,892441182837.7075
May-09-2021,58770.012956157,59112.958931223,56327.674648063,58169.727616902,102692816568.36444,1083790449997.3892
May-02-2021,57794.46273326,57853.379957039,56149.038294697,56563.76,70170320535.81009,1062364792634.545
Apr-25-2021,50069.186874544,50471.37,47199.806670593,48987.681638512,73945549997.83684,927035095761.8909
Apr-18-2021,60028.39,60274.64,52569.439888707,56037.128717561,185812398998.34134,1045652144527.6986
Apr-11-2021,59716.553420893,60590.055143333,59246.503904371,60018.28649422,97875436776.96034,1117365110731.6228
Apr-04-2021,57092.446157657,58412.534020509,56589.619340368,58215.19,104713372859.30452,1077506387550.9282
Mar-28-2021,55841.634784662,56489.17,54850.21,55861.95,82011404713.58173,1042070133008.1964
Mar-21-2021,58057.69,58549.97,55928.752149681,57392.205695478,95572143441.6789,1068857787372.2863
Mar-14-2021,61219.3484261,61617.996614711,59380.018943745,59380.018943745,122350418659.22339,1127962802204.3772
Mar-07-2021,48872.693979548,51409.226747725,48872.693979548,51409.226747725,86479140578.54686,935917409235.7894
Feb-28-2021,46132.387057359,46540.991962894,43164.542809999,44986.744834586,94856286509.80986,834743254119.4801
Feb-21-2021,55969.530622648,58301.831486473,55560.541830753,57367.946141722,139771860152.9566,1062173524746.6239
Feb-14-2021,47123.820707547,49566.060732911,47123.820707547,48673.329709376,144739442865.15906,904294295184.9419
Feb-07-2021,39260.740661719,39654.670372592,37389.634955593,38888.638236331,102991144866.25604,720053161966.9513
Jan-31-2021,34275.231552263,34275.231552263,32213.318325273,33136.139470858,79168365015.20486,622243238404.2793
Jan-24-2021,32081.018951845,32941.580322984,31122.253072711,32261.744350118,71915450466.46252,599252216356.291
Jan-17-2021,36061.523742763,36682.760628346,34095.169184682,35786.417028053,92863643157.15813,663270945739.4935
Jan-10-2021,40083.81722368,41255.979202664,35933.661817445,38299.01960037,107609376316.1692,737715778475.4187
Jan-03-2021,32148.04850009,34717.662741718,32057.582962965,32877.607282615,124349523093.6553,621795048370.9535
Dec-27-2020,26463.426391226,28331.092732215,26011.660346306,26326.481838017,102567647652.80286,503085319304.98663
Dec-20-2020,23859.672112771,24249.957202152,23101.09890077,23516.402834426,71034858155.1023,438084395865.3526
Dec-13-2020,18795.239774701,19393.314747018,18719.958388883,19169.338451969,36129560660.676926,354908722065.1165
Dec-06-2020,19153.421243258,19374.851388494,18891.567772225,19336.692554651,31248872995.053795,355303487880.7596
Nov-29-2020,17725.686439674,18309.851983355,17549.51547626,18162.123474769,39169112135.10042,333623131271.31573
Nov-22-2020,18673.990470469,18740.898903377,17648.898807899,18413.52696735,51842917681.28616,341719648443.3331
Nov-15-2020,16068.098174684,16131.798573711,15796.54343862,15961.34578839,31319340855.48677,296296699173.90576
Nov-08-2020,14815.051319972,15613.433272935,14748.256936569,15499.081293284,44191246290.48436,281457720322.22363
Nov-01-2020,13794.548579995,13881.86907219,13629.063928135,13735.006857626,27500088064.669514,254930532220.35904
Oct-25-2020,13115.294062256,13327.975490285,12915.832170488,13020.811715896,23616907117.363083,241630988925.63992
Oct-18-2020,11358.127960306,11490.015808249,11349.941714456,11490.015808249,15237087835.406223,211547198368.24194
Oct-11-2020,11294.712927937,11429.451339051,11279.862578901,11376.435109896,18400993816.97632,210284916214.8166
Oct-04-2020,10542.058432858,10684.270999744,10524.731279637,10665.698551049,15472962156.749538,196195661643.79477
Sep-27-2020,10729.819960376,10794.712348307,10620.55817204,10766.522449088,19197868192.35896,198230862184.9998
Sep-20-2020,11083.428565628,11083.428565628,10779.619326367,10914.687407947,27984393947.678074,201893765074.58337
Sep-13-2020,10441.288022204,10558.520969717,10218.636885809,10315.666411066,28367164217.130424,192127881478.09885
Sep-06-2020,10170.035547011,10339.13787418,9998.060703423,10257.229742702,56682146859.29868,188480626407.75604
Aug-30-2020,11471.661267574,11704.63523542,11468.275352439,11697.794368445,25043705473.359047,214429322463.49957
Aug-23-2020,11680.516312202,11707.263444938,11537.632616373,11653.407286706,25832518308.66244,214622667029.49823
Aug-16-2020,11857.113343103,11912.908055212,11706.352598874,11892.68092121,27103038829.146084,218601707688.96658
Aug-09-2020,11758.323338153,11784.905447868,11539.762593548,11648.083166166,27135096720.099762,215278340523.57825
Aug-02-2020,11797.816325549,12078.658121818,10983.149379365,11073.607655717,52188598140.94586,209079136871.18777
Jul-26-2020,9697.515158668,10073.225302378,9652.913997826,9917.359473893,28010517868.526413,181128830062.12274
Jul-19-2020,9169.952206175,9213.285053866,9119.533813238,9207.816995889,11947063843.278791,168778549974.80164
Jul-12-2020,9230.979937074,9313.256344017,9187.861566553,9286.726084869,11952544232.061485,170437661039.546
Jul-05-2020,9131.495458412,9137.447368699,8957.560299802,9072.772592194,12978699502.854044,166899354329.7178
Jun-28-2020,9014.405432599,9178.957416344,8961.236006688,9118.117533044,16823321855.415232,166863119578.0689
Jun-21-2020,9351.832000427,9449.308884074,9289.89379981,9289.89379981,15448764609.546492,172135437281.79898
Jun-14-2020,9470.194859489,9470.194859489,9295.788821574,9352.845602064,15802769087.108826,173240671689.186
Jun-07-2020,9661.568387778,9769.288374835,9456.736415239,9742.573822416,19781866056.33938,177067750840.76346
May-31-2020,9694.273434848,9694.273434848,9420.259757406,9449.860914083,30164673988.71284,175722350392.78348
May-24-2020,9178.757641698,9278.961893382,8791.793685125,8791.793685125,25780142754.701046,167779073589.58176
May-17-2020,9383.519750548,9835.576125011,9349.102058943,9667.578396738,31980216368.50253,176741126353.66672
May-10-2020,9554.216376872,9554.216376872,8388.959555308,8745.152545192,49096426545.483246,159826123151.7949
May-03-2020,8973.683542098,9157.860150652,8765.817977746,8894.362674812,36776322130.07504,164772116841.56793
Apr-26-2020,7536.121952295,7667.00624538,7529.539216758,7665.828318069,24111822559.901714,139184239452.5138
Apr-19-2020,7238.813999982,7238.813999982,7084.171815922,7133.148679405,25713381019.621838,131299883668.29266
Apr-12-2020,6873.738524108,7151.799963148,6797.613534862,6977.230635882,25365748775.631874,127014900702.17606
Apr-05-2020,6847.445950011,6874.52863927,6710.016206243,6789.732164723,25269670113.00513,124308425037.95819
Mar-29-2020,6241.956890205,6241.956890205,5908.106131654,5917.297073238,23647684302.308273,111751694356.7959
Mar-22-2020,6162.351079007,6385.923935786,5796.48831305,5843.158786255,49039501835.036606,112187860495.32362
Mar-15-2020,5200.968199503,5832.913922816,5168.397855912,5381.745246919,26391424072.39053,96195556705.22151
Mar-08-2020,8898.958236547,8898.958236547,8042.736084463,8042.736084463,33505674162.182323,155088458047.74023
Mar-01-2020,8550.541951959,8710.274182381,8426.707718116,8557.504357584,25805457967.583992,154882913461.60522
Feb-23-2020,9663.250800451,9951.126733768,9663.250800451,9923.659319612,29496972972.892437,178038565852.0307
Feb-16-2020,9908.084221839,10032.343092004,9687.006103024,9969.235680452,36525467233.546524,179092557524.82288
Feb-09-2020,9890.510298711,10136.292375953,9882.112054443,10128.750275518,30830691930.953083,181866640936.16617
Feb-02-2020,9382.886002525,9451.075249365,9222.505434595,9339.574889161,25513782426.063236,169576924680.3792
Jan-26-2020,8350.912434142,8602.219769778,8317.574928674,8591.002875698,17062357023.911625,152809555627.03122
Jan-19-2020,8925.609579228,9170.718170719,8587.801980243,8697.342225048,29631647239.100475,160142088750.69852
Jan-12-2020,8031.849294841,8168.956022809,7979.109216272,8164.590607768,23264705657.57096,146765777200.64877
Jan-05-2020,7356.759129712,7475.155225639,7341.45668574,7352.362745092,18782091517.372353,134419222812.48914
Dec-29-2019,7312.006786468,7487.899094121,7257.396558144,7386.37606034,18316582002.147324,132889260155.54071
Dec-22-2019,7140.32026181,7482.961455839,7130.735076477,7482.961455839,15859553796.773232,130626273875.8252
Dec-15-2019,7072.383784552,7155.337433254,7026.94612641,7120.922417547,14644394191.144522,128334682120.02686
Dec-08-2019,7495.498070338,7544.078599557,7395.935569224,7516.676668173,14839255939.762865,135363276601.94305
Dec-01-2019,7551.709861219,7551.709861219,7276.632368504,7417.184161887,19448581691.419365,133056595876.39296
Nov-24-2019,7310.162692926,7325.983704047,6932.313157281,6932.313157281,19688077432.647324,129213195685.80475
Nov-17-2019,8498.554736481,8591.874088791,8420.02373779,8503.04943466,16068981643.99694,153814774012.02075
Nov-10-2019,8814.218854096,9084.836687216,8769.040650714,9043.004448601,18865154158.8606,160406101474.5186
